id,smiles,notes,params_json
3581333,CC(C)N1CCC2=C(C1)SC(=C2C3=NC4=CC=CC=C4S3)NC(=O)C,,
3582901,C1CC(C2=CC=CC=C2C1)NC(=O)CSC3=NC4=CC=CC=C4S3,,
3583019,CC1=NC2=C(S1)C=C(C=C2)S(=O)(=O)Cl,,
3583854,CCCCCN1C2=C(C(=C1N)C3=NC4=CC=CC=C4S3)C(=NN(C2=O)CC)[N+](=O)[O-],,
3584892,COC1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=NC4=CC=CC=C4S3)C=NCC5=CC=CC=N5,,
3585708,CCCCC(=O)NC(C(=O)OCC)(C(F)(F)F)NC1=NC2=CC=CC=C2S1,,
3586459,COC1=C(C=C(C=C1)C(=O)N(C2=CC=C(C=C2)F)C3=NC4=CC=CC=C4S3)OC,,
3587194,CSC1=NC2=C(S1)C3=C(C=C2)N=C(S3)NC(=O)C4=CC(=CC=C4)[N+](=O)[O-],,
3587539,C1=CC=C2C(=C1)N=C(S2)C3=CSC(=N3)NC(=O)C4=C(C=CC=C4F)F,,
3588339,C1=CC=C(C=C1)C2=C(OC3=CC=CC=C3O2)C=C(C4=NC5=CC=CC=C5S4)C6=NC7=CC=CC=C7S6,,
3588867,CN1C=NN=C1SCC(=O)NC2=NC=C(S2)[N+](=O)[O-],,
3589340,C1=CC(=CC=C1C(=O)NC2=NC3=C(S2)C=C(C=C3)C(=O)O)N,,
3590942,C1=CC=C(C(=C1)C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=NC=CS4)O,,
3591625,CC1=CSC(=N1)SC(C)C(=O)NC2=CC3=C(C=C2)OCCO3,,
3591709,C1CCN(CC1)C2=C(C=C(C=C2)C(=O)NC3=NC(=CS3)C4=NC5=CC=CC=C5S4)[N+](=O)[O-],,
3592840,COC1=C2C(=CC(=C1)[N+](=O)[O-])SC(=N2)NC(=O)C3=CC(=C(C=C3)N4CCOCC4)[N+](=O)[O-],,
3593389,CCCCN1C(=NN=C1SCC(=O)NC2=NC3=CC=CC=C3S2)CNC(=O)C4=CC=C(C=C4)OC,,
